Lemon Cake,Lemon Tart,,,,,,
Truffle Cake,Apricot Danish,Orange Juice,Bottled Water,,,,
Almond Tart,Chocolate Tart,Vanilla Meringue,Marzipan Cookie,Tuile Cookie,Apple Croissant,Apricot Croissant,
Casino Cake,Truffle Cake,Cherry Tart,Gongolais Cookie,Marzipan Cookie,Chocolate Coffee,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Strawberry Cake,Napoleon Cake,Bottled Water,,,,,
Apricot Tart,Chocolate Tart,Bottled Water,Vanilla Frappuccino,,,,
Strawberry Cake,Hot Coffee,,,,,,
Truffle Cake,Blackberry Tart,Gongolais Cookie,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Napoleon Cake,Marzipan Cookie,Almond Twist,Cherry Soda,,,,
Lemon Cake,Chocolate Tart,Apricot Danish,Chocolate Coffee,,,,
Strawberry Cake,Gongolais Cookie,Chocolate Meringue,,,,,
Chocolate Tart,Cherry Tart,Tuile Cookie,Vanilla Frappuccino,,,,
Apple Tart,Marzipan Cookie,Tuile Cookie,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Coffee Eclair,Apple Pie,Chocolate Tart,Lemon Lemonade,,,,
Blackberry Tart,Blueberry Danish,,,,,,
Single Espresso,,,,,,,
Pecan Tart,Ganache Cookie,Apricot Danish,Apple Danish,,,,
Chocolate Eclair,Napoleon Cake,Apricot Tart,Apricot Danish,Green Tea,,,
Chocolate Cake,Casino Cake,Apricot Croissant,Chocolate Coffee,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Marzipan Cookie,Almond Croissant,Chocolate Coffee,,,,,
Chocolate Tart,Vanilla Frappuccino,,,,,,
Apricot Danish,Almond Bear Claw,,,,,,
Truffle Cake,Gongolais Cookie,Chocolate Coffee,,,,,
Chocolate Cake,Vanilla Eclair,Orange Juice,,,,,
Chocolate Cake,Strawberry Cake,Chocolate Coffee,,,,,
Strawberry Cake,Blueberry Tart,Single Espresso,,,,,
Strawberry Cake,Apple Pie,Apple Danish,,,,,
Chocolate Cake,Gongolais Cookie,Almond Twist,,,,,
Pecan Tart,Marzipan Cookie,Tuile Cookie,,,,,
Cheese Croissant,Apricot Danish,Orange Juice,Green Tea,,,,
Marzipan Cookie,Tuile Cookie,Blueberry Danish,Raspberry Lemonade,,,,
Cherry Tart,Apricot Danish,,,,,,
Apple Croissant,Bottled Water,Single Espresso,,,,,
Casino Cake,Vanilla Eclair,Apple Tart,,,,,
Apple Tart,Cheese Croissant,Orange Juice,,,,,
Lemon Cookie,Marzipan Cookie,Tuile Cookie,Bottled Water,,,,
Strawberry Cake,Berry Tart,Tuile Cookie,Raspberry Lemonade,Orange Juice,,,
Coffee Eclair,Blackberry Tart,Cheese Croissant,Lemon Lemonade,Single Espresso,,,
Blueberry Tart,Raspberry Cookie,Apricot Croissant,Hot Coffee,,,,
Blueberry Tart,Lemon Tart,Walnut Cookie,,,,,
Almond Tart,Marzipan Cookie,Tuile Cookie,,,,,
Truffle Cake,Gongolais Cookie,Lemon Cookie,,,,,
Apple Tart,Ganache Cookie,Chocolate Meringue,Blueberry Danish,,,,
Strawberry Cake,Napoleon Cake,Chocolate Coffee,,,,,
Casino Cake,Apple Pie,Marzipan Cookie,Hot Coffee,,,,
Chocolate Tart,Raspberry Cookie,Walnut Cookie,Orange Juice,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Berry Tart,Bottled Water,,,,,,
Napoleon Cake,Lemon Tart,Almond Croissant,Cheese Croissant,Orange Juice,,,
Apricot Tart,Blueberry Tart,Ganache Cookie,Apricot Croissant,Blueberry Danish,,,
Coffee Eclair,Apple Pie,Almond Twist,Bottled Water,Hot Coffee,,,
Apple Pie,Chocolate Tart,Walnut Cookie,Hot Coffee,Vanilla Frappuccino,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Strawberry Cake,Berry Tart,Marzipan Cookie,Almond Croissant,Green Tea,Bottled Water,Single Espresso,
Opera Cake,Chocolate Eclair,Almond Tart,Chocolate Tart,Walnut Cookie,Almond Twist,Blueberry Danish,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Lemon Cake,Lemon Tart,Vanilla Meringue,Marzipan Cookie,,,,
Truffle Cake,Cherry Tart,Marzipan Cookie,,,,,
Chocolate Cake,Berry Tart,Orange Juice,,,,,
Lemon Cake,Apple Croissant,Apricot Danish,,,,,
Chocolate Coffee,,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,,,,,
Opera Cake,Coffee Eclair,Ganache Cookie,,,,,
Chocolate Cake,Cheese Croissant,Orange Juice,,,,,
Apple Tart,Apple Croissant,Apple Danish,,,,,
Chocolate Cake,Chocolate Tart,Lemon Cookie,,,,,
Truffle Cake,Berry Tart,Walnut Cookie,Bottled Water,,,,
Lemon Cake,Blackberry Tart,Lemon Tart,,,,,
Almond Tart,Blackberry Tart,Cherry Tart,Apricot Danish,Single Espresso,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Casino Cake,Blackberry Tart,Blueberry Tart,Cherry Tart,Apple Croissant,Apricot Croissant,Orange Juice,Hot Coffee
Strawberry Cake,Napoleon Cake,,,,,,
Strawberry Cake,Gongolais Cookie,Walnut Cookie,Apple Danish,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Tuile Cookie,Orange Juice,Single Espresso,,,,,
Berry Tart,Blueberry Tart,Cherry Tart,,,,,
Ganache Cookie,Marzipan Cookie,Tuile Cookie,Apple Croissant,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Strawberry Cake,Single Espresso,,,,,,
Lemon Cake,Vanilla Eclair,Blackberry Tart,Raspberry Lemonade,,,,
Truffle Cake,Blueberry Tart,Chocolate Tart,,,,,
Strawberry Cake,Apricot Tart,Marzipan Cookie,Tuile Cookie,,,,
Truffle Cake,Gongolais Cookie,Almond Croissant,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Blueberry Tart,Raspberry Cookie,Marzipan Cookie,Apricot Croissant,Blueberry Danish,Hot Coffee,Vanilla Frappuccino,
Napoleon Cake,Lemon Tart,Almond Croissant,,,,,
Marzipan Cookie,Tuile Cookie,,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,,,,
Chocolate Tart,Tuile Cookie,Almond Croissant,Apple Croissant,Raspberry Lemonade,Vanilla Frappuccino,,
Chocolate Cake,Apricot Tart,Gongolais Cookie,Walnut Cookie,,,,
Truffle Cake,Apple Tart,Gongolais Cookie,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Casino Cake,Strawberry Cake,Napoleon Cake,,,,,
Opera Cake,Cherry Tart,Apricot Danish,Bottled Water,,,,
Strawberry Cake,Cherry Tart,Blueberry Danish,,,,,
Coffee Eclair,Blackberry Tart,Almond Croissant,Single Espresso,,,,
Napoleon Cake,,,,,,,
Strawberry Cake,,,,,,,
Cherry Tart,Gongolais Cookie,Bottled Water,,,,,
Coffee Eclair,Apple Pie,Almond Twist,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Opera Cake,Truffle Cake,Ganache Cookie,Lemon Lemonade,Bottled Water,Cherry Soda,,
Coffee Eclair,Cheese Croissant,Orange Juice,,,,,
Blueberry Tart,Apricot Croissant,Hot Coffee,,,,,
Apple Tart,Apricot Croissant,Orange Juice,,,,,
Raspberry Cookie,Chocolate Croissant,Blueberry Danish,,,,,
Vanilla Eclair,Raspberry Cookie,Apple Croissant,,,,,
Chocolate Cake,Apple Pie,Berry Tart,Lemon Tart,Walnut Cookie,Raspberry Lemonade,,
Blackberry Tart,Blueberry Danish,,,,,,
Blueberry Tart,Lemon Cookie,Apricot Croissant,Cheese Croissant,Hot Coffee,,,
Chocolate Cake,Blackberry Tart,Ganache Cookie,Almond Croissant,Chocolate Coffee,,,
Chocolate Eclair,Apple Pie,,,,,,
Chocolate Eclair,Vanilla Meringue,Green Tea,,,,,
Strawberry Cake,Apple Tart,Marzipan Cookie,Tuile Cookie,,,,
Apple Croissant,Apricot Croissant,Raspberry Lemonade,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,,,,
Strawberry Cake,Apple Croissant,Blueberry Danish,Hot Coffee,,,,
Blueberry Tart,Pecan Tart,Apple Danish,Almond Twist,,,,
Chocolate Cake,Lemon Cake,Lemon Cookie,Apple Croissant,Chocolate Croissant,Chocolate Coffee,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Raspberry Cookie,Chocolate Coffee,Single Espresso,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Almond Bear Claw,,,,,,,
Strawberry Cake,Napoleon Cake,Green Tea,,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Marzipan Cookie,Chocolate Croissant,Chocolate Coffee,,,,,
Cheese Croissant,Orange Juice,,,,,,
