Apple Pie,Ganache Cookie,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Opera Cake,Cheese Croissant,Orange Juice,,,,,
Truffle Cake,Apple Tart,Chocolate Tart,Vanilla Frappuccino,,,,
Chocolate Eclair,Cherry Tart,Orange Juice,,,,,
Casino Cake,Strawberry Cake,Chocolate Croissant,,,,,
Blackberry Tart,Blueberry Tart,Raspberry Cookie,Lemon Lemonade,,,,
Casino Cake,Opera Cake,Walnut Cookie,Chocolate Croissant,,,,
Cherry Tart,Raspberry Cookie,Vanilla Meringue,Apricot Danish,Apple Danish,,,
Bottled Water,Hot Coffee,,,,,,
Chocolate Tart,Almond Bear Claw,Cherry Soda,Single Espresso,,,,
Casino Cake,Opera Cake,Apple Pie,Ganache Cookie,Almond Twist,Raspberry Lemonade,Single Espresso,
Opera Cake,Chocolate Tart,Green Tea,Cherry Soda,,,,
Chocolate Tart,Apricot Danish,Green Tea,Hot Coffee,,,,
Blackberry Tart,Almond Twist,Green Tea,,,,,
Chocolate Cake,Casino Cake,Pecan Tart,Chocolate Coffee,Cherry Soda,,,
Chocolate Tart,Vanilla Frappuccino,,,,,,
Berry Tart,,,,,,,
Blueberry Tart,Blueberry Danish,,,,,,
Apricot Tart,Orange Juice,,,,,,
Coffee Eclair,Apple Pie,Almond Twist,Hot Coffee,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Napoleon Cake,Blackberry Tart,Tuile Cookie,Vanilla Frappuccino,,,,
Apricot Croissant,Cheese Croissant,Almond Twist,,,,,
Truffle Cake,Vanilla Eclair,Blueberry Tart,Lemon Tart,Pecan Tart,Chocolate Meringue,Blueberry Danish,Hot Coffee
Apricot Tart,Gongolais Cookie,Lemon Cookie,Apricot Croissant,Cheese Croissant,,,
Berry Tart,Bottled Water,,,,,,
Chocolate Eclair,Apricot Tart,Pecan Tart,Blueberry Danish,Lemon Lemonade,Bottled Water,Single Espresso,
Apricot Tart,Chocolate Coffee,,,,,,
Vanilla Eclair,Marzipan Cookie,Tuile Cookie,,,,,
Lemon Cake,Lemon Tart,,,,,,
Chocolate Eclair,Apple Danish,,,,,,
Coffee Eclair,Blackberry Tart,Single Espresso,,,,,
Apple Tart,Apple Croissant,Apple Danish,Cherry Soda,,,,
Chocolate Tart,Walnut Cookie,Vanilla Frappuccino,,,,,
Truffle Cake,Almond Tart,Ganache Cookie,Chocolate Croissant,Almond Twist,Cherry Soda,,
Lemon Cake,Lemon Tart,,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Coffee Eclair,Blackberry Tart,Lemon Lemonade,Single Espresso,,,,
Cherry Tart,Lemon Tart,Ganache Cookie,Apricot Danish,,,,
Opera Cake,Chocolate Tart,Lemon Tart,,,,,
Apricot Tart,Berry Tart,Marzipan Cookie,,,,,
Berry Tart,Lemon Tart,,,,,,
Chocolate Cake,Casino Cake,Chocolate Eclair,Chocolate Coffee,,,,
Berry Tart,Almond Croissant,Blueberry Danish,Bottled Water,,,,
Chocolate Cake,Vanilla Meringue,Chocolate Coffee,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Lemon Cake,Opera Cake,Apple Tart,Lemon Cookie,Apple Croissant,Apple Danish,Blueberry Danish,Cherry Soda
Cheese Croissant,,,,,,,
Tuile Cookie,Orange Juice,,,,,,
Chocolate Cake,Casino Cake,Chocolate Coffee,,,,,
Strawberry Cake,Napoleon Cake,,,,,,
Opera Cake,Cherry Tart,Apricot Danish,,,,,
Raspberry Cookie,Lemon Cookie,Lemon Lemonade,Raspberry Lemonade,Green Tea,,,
Cheese Croissant,Orange Juice,Green Tea,Vanilla Frappuccino,,,,
Berry Tart,Cheese Croissant,Bottled Water,,,,,
